,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,Season,avg_temp
57,14358,Coconut ,2002,20000,1485,Whole Year ,16.47
58,3,Dry chillies,2002,31617,1485,Whole Year ,16.47
59,6,Dry ginger,2004,46197,1485,Whole Year ,16.16
60,0.2,Sugarcane,2004,149346,1485,Whole Year ,16.16
61,18,Sweet potato,2004,13333,1485,Whole Year ,16.16
62,52.03,Tapioca,2004,31130,1485,Whole Year ,16.16
63,2.5,Turmeric,2005,45442,1485,Whole Year ,15.67
64,3.5,Rice,2005,167061,1485,Autumn     ,15.67
65,13.4,Sugarcane,2005,17500,1485,Autumn     ,15.67
66,944,Arecanut,2005,31582,1485,Rabi       ,15.67
67,23,Black pepper,2006,50111,1485,Rabi       ,15.92
68,1000.5,Cashewnut,2006,170745,1485,Rabi       ,15.92
69,12,Dry chillies,2006,20000,1485,Rabi       ,15.92
70,7,Dry ginger,2006,30787,1485,Rabi       ,15.92
71,3.84,Maize,2007,46732,1485,Rabi       ,16.67
72,1.5,Moong(Green Gram),2007,188902,1485,Rabi       ,16.67
73,22,Sweet potato,2007,20000,1485,Rabi       ,16.67
74,2,Turmeric,2007,35496,1485,Rabi       ,16.67
75,1.5,Urad,2008,50000,1485,Rabi       ,16.71
76,593,Banana,2008,193878,1485,Whole Year ,16.71
77,14560,Coconut ,2008,20000,1485,Whole Year ,16.71
78,69,Tapioca,2008,40168,1485,Whole Year ,16.71
79,3100,Arecanut,2009,55693,1485,Kharif     ,16.73
80,668,Other Kharif pulses,2009,219780,1485,Kharif     ,16.73
81,10779,Rice,2009,16667,1485,Kharif     ,16.73
82,1531,Banana,2009,40229,1485,Whole Year ,16.73
83,80,Cashewnut,2010,66790,1485,Whole Year ,16.52
84,6992,Coconut ,2010,231111,1485,Whole Year ,16.52
85,352,Dry ginger,2010,16667,1485,Whole Year ,16.52
86,133,other oilseeds,2010,39905,1485,Whole Year ,16.52
87,141,Sugarcane,2011,59869,1485,Whole Year ,16.45
88,78,Sweet potato,2011,242211,1485,Whole Year ,16.45
89,160,Tapioca,2011,18519,1485,Whole Year ,16.45
90,3100,Arecanut,2011,42301,1485,Kharif     ,16.45
91,418,Other Kharif pulses,2012,67290,1485,Kharif     ,16.7
92,9718,Rice,2012,250538,1485,Kharif     ,16.7
93,81,Cashewnut,2012,13333,1485,Whole Year ,16.7
94,7015,Coconut ,2012,41096,1485,Whole Year ,16.7
95,344,Dry ginger,2013,69533,1485,Whole Year ,17.41
96,81,Sugarcane,2013,260110,1485,Whole Year ,17.41
97,100,Sweet potato,2013,10000,1485,Whole Year ,17.41
98,6854.3,Rice,2013,41292,1485,Kharif     ,17.41
99,1160,Arecanut,1990,16500,89,Whole Year ,17.48
100,957.57,Banana,1990,78936,89,Whole Year ,17.48
101,175,Black pepper,1990,28000,89,Whole Year ,17.48
102,40.5,Cashewnut,1990,16571,89,Whole Year ,17.48
103,3575,Coconut ,1990,6315,89,Whole Year ,17.48
104,235.72,Dry chillies,1991,19231,89,Whole Year ,16.26
105,98.66,Dry ginger,1991,90747,89,Whole Year ,16.26
106,35.62,other oilseeds,1991,26786,89,Whole Year ,16.26
107,71.3,Sugarcane,1991,24231,89,Whole Year ,16.26
108,30,Sweet potato,1991,10809,89,Whole Year ,16.26
109,255,Tapioca,1992,22828,89,Whole Year ,16.27
110,68,Turmeric,1992,107917,89,Whole Year ,16.27
111,6791,Rice,1992,24733,89,Autumn     ,16.27
112,73.33,Sugarcane,1992,40000,89,Autumn     ,16.27
113,1296,Arecanut,1992,9939,89,Rabi       ,16.27
114,294.5,Arhar/Tur,1993,12500,89,Rabi       ,17
115,168,Black pepper,1993,111215,89,Rabi       ,17
116,84.5,Cashewnut,1993,23111,89,Rabi       ,17
117,254,Dry chillies,1993,50000,89,Rabi       ,17
118,110,Dry ginger,1993,8097,89,Rabi       ,17
119,4.75,Groundnut,1994,4512,89,Rabi       ,17.88
120,86.7,Maize,1994,95078,89,Rabi       ,17.88
121,1168.6,Moong(Green Gram),1994,21374,89,Rabi       ,17.88
122,2.9,Sunflower,1994,7999,89,Rabi       ,17.88
123,109,Sweet potato,1995,16115,89,Rabi       ,17.36
124,68,Turmeric,1995,136768,89,Rabi       ,17.36
125,1059.5,Urad,1995,19598,89,Rabi       ,17.36
126,657,Banana,1995,12667,89,Whole Year ,17.36
127,3668,Coconut ,1995,8924,89,Whole Year ,17.36
128,186.5,Tapioca,1996,17154,89,Whole Year ,16.76
129,10695.8,Rice,1996,134629,89,Kharif     ,16.76
130,3105,Arecanut,1996,17861,89,Whole Year ,16.76
131,1524,Banana,1996,14750,89,Whole Year ,16.76
132,487,Black pepper,1996,13090,89,Whole Year ,16.76
133,81,Cashewnut,1997,21417,89,Whole Year ,17.84
134,7060,Coconut ,1997,141042,89,Whole Year ,17.84
135,239,Dry chillies,1997,15000,89,Whole Year ,17.84
136,352,Dry ginger,1997,40000,89,Whole Year ,17.84
137,85.1,other oilseeds,1997,8016,89,Whole Year ,17.84
138,455,Sugarcane,1998,17222,89,Whole Year ,17.14
139,10509.37,Rice,1998,160256,89,Kharif     ,17.14
140,3118,Arecanut,1998,15000,89,Whole Year ,17.14
141,1530,Banana,1998,24500,89,Whole Year ,17.14
142,497,Black pepper,1998,8847,89,Whole Year ,17.14
143,116.5,Cashewnut,1999,22375,89,Whole Year ,17.97
144,7110,Coconut ,1999,153532,89,Whole Year ,17.97
145,340,Dry chillies,1999,13942,89,Whole Year ,17.97
146,406,Dry ginger,1999,27000,89,Whole Year ,17.97
147,82.09,other oilseeds,1999,10711,89,Whole Year ,17.97
148,268,Sugarcane,2000,36186,89,Whole Year ,17.9
149,10681.98,Rice,2000,166143,89,Kharif     ,17.9
150,3160.67,Arecanut,2000,13052,89,Whole Year ,17.9
151,1912.1,Banana,2000,69500,89,Whole Year ,17.9
152,570,Black pepper,2000,9194,89,Whole Year ,17.9
153,116.5,Cashewnut,2001,27175,89,Whole Year ,18.13
154,7156.7,Coconut ,2001,147018,89,Whole Year ,18.13
155,340,Dry chillies,2001,12314,89,Whole Year ,18.13
156,410,Dry ginger,2001,27750,89,Whole Year ,18.13
157,89.3,other oilseeds,2001,11104,89,Whole Year ,18.13
158,145.26,Sugarcane,2002,33480,89,Whole Year ,17.85
159,8683.38,Rice,2002,183774,89,Kharif     ,17.85
160,3250.78,Arecanut,2002,12959,89,Whole Year ,17.85
161,1656.8,Banana,2002,33900,89,Whole Year ,17.85
162,656.45,Black pepper,2002,10739,89,Whole Year ,17.85
163,118.5,Cashewnut,2004,31729,89,Whole Year ,17.38
164,7050.45,Coconut ,2004,203585,89,Whole Year ,17.38
165,370.7,Dry chillies,2004,12829,89,Whole Year ,17.38
166,200,Dry ginger,2004,43316,89,Whole Year ,17.38
167,53.55,other oilseeds,2004,13582,89,Whole Year ,17.38
168,128.02,Sugarcane,2005,33864,89,Whole Year ,17.19
169,131.9,Sweet potato,2005,216267,89,Whole Year ,17.19
170,254.5,Tapioca,2005,12998,89,Whole Year ,17.19
171,81.7,Turmeric,2005,33486,89,Whole Year ,17.19
172,921.87,Rice,2005,15057,89,Kharif     ,17.19
173,2000,Arecanut,2006,65668,89,Whole Year ,18.13
174,483,Banana,2006,220689,89,Whole Year ,18.13
175,413.1,Black pepper,2006,12769,89,Whole Year ,18.13
176,79.5,Cashewnut,2006,56728,89,Whole Year ,18.13
177,3483.09,Coconut ,2006,15068,89,Whole Year ,18.13
178,124.6,Dry chillies,2007,85625,89,Whole Year ,17.42
179,100.9,Dry ginger,2007,189927,89,Whole Year ,17.42
180,24,other oilseeds,2007,13375,89,Whole Year ,17.42
181,53.5,Sugarcane,2007,119059,89,Whole Year ,17.42
182,30.4,Sweet potato,2007,12742,89,Whole Year ,17.42
183,40,Tapioca,2008,44714,89,Whole Year ,17.55
184,10,Turmeric,2008,236393,89,Whole Year ,17.55
185,1595.5,Rice,2008,13952,89,Autumn     ,17.55
186,67.5,Sugarcane,2008,61786,89,Autumn     ,17.55
187,1912,Arecanut,2008,11038,89,Rabi       ,17.55
188,20.5,Arhar/Tur,2009,30914,89,Rabi       ,17.78
189,409,Black pepper,2009,250764,89,Rabi       ,17.78
190,15,Cashewnut,2009,14594,89,Rabi       ,17.78
191,128,Dry chillies,2009,90465,89,Rabi       ,17.78
192,94,Dry ginger,2009,15975,89,Rabi       ,17.78
193,15.5,Groundnut,2010,25827,89,Rabi       ,17.59
194,73,Maize,2010,270526,89,Rabi       ,17.59
195,29.9,Moong(Green Gram),2010,15305,89,Rabi       ,17.59
196,1,Sunflower,2010,30286,89,Rabi       ,17.59
197,32,Sweet potato,2010,14838,89,Rabi       ,17.59
198,10,Turmeric,2011,23374,89,Rabi       ,17.79
199,34,Urad,2011,292806,89,Rabi       ,17.79
200,360,Banana,2011,16081,89,Whole Year ,17.79
201,3540,Coconut ,2011,100000,89,Whole Year ,17.79
202,22.5,Tapioca,2011,17405,89,Whole Year ,17.79
203,21400,Arhar/Tur,2012,25583,89,Kharif     ,17.91
204,1400,Bajra,2012,304291,89,Kharif     ,17.91
205,1000,Castor seed,2012,16667,89,Kharif     ,17.91
206,7300,Cotton(lint),2012,206000,89,Kharif     ,17.91
207,3700,Dry chillies,2012,17639,89,Kharif     ,17.91
208,650800,Groundnut,2013,33649,89,Kharif     ,17.65
209,3300,Horse-gram,2013,303218,89,Kharif     ,17.65
210,10100,Jowar,2013,17778,89,Kharif     ,17.65
211,2200,Korra,2013,60000,89,Kharif     ,17.65
212,2800,Maize,2013,19100,89,Kharif     ,17.65
213,1300,Moong(Green Gram),1990,41177,1010,Kharif     ,24.12
214,800,Other Kharif pulses,1990,2736,1010,Kharif     ,24.12
215,6700,Ragi,1990,40000,1010,Kharif     ,24.12
216,35600,Rice,1990,9512,1010,Kharif     ,24.12
217,700,Sugarcane,1990,89342,1010,Kharif     ,24.12
218,35900,Sunflower,1990,7995,1010,Kharif     ,24.12
219,200,Tobacco,1991,40295,1010,Kharif     ,24.02
220,100,Dry chillies,1991,4013,1010,Rabi       ,24.02
221,28000,Gram,1991,40000,1010,Rabi       ,24.02
222,20200,Groundnut,1991,10000,1010,Rabi       ,24.02
223,600,Horse-gram,1991,83001,1010,Rabi       ,24.02
224,18800,Jowar,1991,8000,1010,Rabi       ,24.02
225,100,Korra,1992,42295,1010,Rabi       ,23.96
226,600,Maize,1992,3778,1010,Rabi       ,23.96
227,600,Ragi,1992,40000,1010,Rabi       ,23.96
228,18000,Rice,1992,9106,1010,Rabi       ,23.96
229,30100,Sunflower,1992,90000,1010,Rabi       ,23.96
230,300,Wheat,1992,8000,1010,Rabi       ,23.96
231,27400,Arhar/Tur,1993,42295,1010,Kharif     ,24.15
232,2600,Bajra,1993,2627,1010,Kharif     ,24.15
233,3200,Castor seed,1993,70000,1010,Kharif     ,24.15
234,14000,Cotton(lint),1993,8000,1010,Kharif     ,24.15
235,4000,Dry chillies,1993,88095,1010,Kharif     ,24.15
236,755200,Groundnut,1993,8876,1010,Kharif     ,24.15
237,2300,Horse-gram,1994,58596,1010,Kharif     ,24.04
238,3700,Jowar,1994,2463,1010,Kharif     ,24.04
239,4600,Korra,1994,90000,1010,Kharif     ,24.04
240,3300,Maize,1994,8750,1010,Kharif     ,24.04
241,2100,Moong(Green Gram),1994,83192,1010,Kharif     ,24.04
242,2000,Other Kharif pulses,1994,10000,1010,Kharif     ,24.04
243,7000,Ragi,1995,51000,1010,Kharif     ,24.56
244,38300,Rice,1995,3517,1010,Kharif     ,24.56
245,21300,Sunflower,1995,76738,1010,Kharif     ,24.56
246,200,Dry chillies,1995,14615,1010,Rabi       ,24.56
247,26200,Gram,1995,81138,1010,Rabi       ,24.56
248,25900,Groundnut,1995,11855,1010,Rabi       ,24.56
249,700,Horse-gram,1996,48077,1010,Rabi       ,24.11
250,14800,Jowar,1996,6993,1010,Rabi       ,24.11
251,300,Maize,1996,70000,1010,Rabi       ,24.11
252,700,Ragi,1996,17500,1010,Rabi       ,24.11
253,26600,Rice,1996,85455,1010,Rabi       ,24.11
254,13500,Sunflower,1996,13738,1010,Rabi       ,24.11
255,400,Wheat,1997,44205,1010,Rabi       ,24.06
256,700,Sugarcane,1997,5959,1010,Whole Year ,24.06
257,100,Tobacco,1997,68571,1010,Whole Year ,24.06
258,1635,Bajra,1997,20000,1010,Kharif     ,24.06
259,1880,Castor seed,1997,78098,1010,Kharif     ,24.06
260,9453,Cotton(lint),1997,15509,1010,Kharif     ,24.06
261,694865,Groundnut,1998,55728,1010,Kharif     ,24.96
262,1762,Horse-gram,1998,7396,1010,Kharif     ,24.96
263,11131,Jowar,1998,62724,1010,Kharif     ,24.96
264,3358,Maize,1998,20000,1010,Kharif     ,24.96
265,23117,Masoor,1998,76256,1010,Kharif     ,24.96
266,1546,Moong(Green Gram),1998,17143,1010,Kharif     ,24.96
267,6215,Ragi,1999,59821,1010,Kharif     ,24.37
268,37991,Rice,1999,6361,1010,Kharif     ,24.37
269,8,Sesamum,1999,54597,1010,Kharif     ,24.37
270,4,Urad,1999,14235,1010,Kharif     ,24.37
271,99,Bajra,1999,82865,1010,Rabi       ,24.37
272,26835,Gram,1999,17391,1010,Rabi       ,24.37
273,21785,Groundnut,2000,82992,1010,Rabi       ,24.41
274,1071,Horse-gram,2000,5745,1010,Rabi       ,24.41
275,21487,Jowar,2000,29885,1010,Rabi       ,24.41
276,12,Linseed,2000,13454,1010,Rabi       ,24.41
277,455,Maize,2000,3333,1010,Rabi       ,24.41
278,98,Masoor,2000,2333,1010,Rabi       ,24.41
279,1,Moong(Green Gram),2000,34938,1010,Rabi       ,24.41
280,734,Ragi,2000,17023,1010,Rabi       ,24.41
281,20258,Rice,2001,94072,1010,Rabi       ,24.43
282,881,Safflower,2001,5754,1010,Rabi       ,24.43
283,10,Sesamum,2001,42552,1010,Rabi       ,24.43
284,439,Wheat,2001,13701,1010,Rabi       ,24.43
285,5199,Dry chillies,2001,3571,1010,Whole Year ,24.43
286,1770,Onion,2001,2500,1010,Whole Year ,24.43
287,884,Sugarcane,2001,44458,1010,Whole Year ,24.43
288,30693,Arhar/Tur,2001,16667,1010,Kharif     ,24.43
289,2477,Bajra,2002,110071,1010,Kharif     ,24.79
290,9315,Castor seed,2002,6706,1010,Kharif     ,24.79
291,12025,Cotton(lint),2002,42754,1010,Kharif     ,24.79
292,3755,Dry chillies,2002,13198,1010,Kharif     ,24.79
293,21,Gram,2002,3400,1010,Kharif     ,24.79
294,791559,Groundnut,2002,2857,1010,Kharif     ,24.79
295,601,Horse-gram,2002,42190,1010,Kharif     ,24.79
296,5071,Jowar,2002,15455,1010,Kharif     ,24.79
297,1626,Korra,2004,125605,1010,Kharif     ,24.22
298,3475,Maize,2004,5404,1010,Kharif     ,24.22
299,1744,Moong(Green Gram),2004,20150,1010,Kharif     ,24.22
300,1103,Onion,2004,11584,1010,Kharif     ,24.22
301,3167,Other Kharif pulses,2004,3333,1010,Kharif     ,24.22
302,1292,other misc. pulses,2004,3600,1010,Kharif     ,24.22
303,6613,Ragi,2004,45360,1010,Kharif     ,24.22
304,39905,Rice,2004,12442,1010,Kharif     ,24.22
305,21,Samai,2005,117628,1010,Kharif     ,24.41
306,5,Sesamum,2005,6736,1010,Kharif     ,24.41
307,1647,Small millets,2005,23646,1010,Kharif     ,24.41
308,30606,Sunflower,2005,6977,1010,Kharif     ,24.41
309,135,Urad,2005,3333,1010,Kharif     ,24.41
310,35,Arhar/Tur,2005,3793,1010,Rabi       ,24.41
311,317,Bajra,2005,46159,1010,Rabi       ,24.41
312,71,Dry chillies,2005,10946,1010,Rabi       ,24.41
313,33858,Gram,2006,117201,1010,Rabi       ,24.14
314,23048,Groundnut,2006,4687,1010,Rabi       ,24.14
315,377,Horse-gram,2006,52148,1010,Rabi       ,24.14
316,15242,Jowar,2006,4947,1010,Rabi       ,24.14
317,96,Korra,2006,4091,1010,Rabi       ,24.14
318,8,Linseed,2006,4286,1010,Rabi       ,24.14
319,399,Maize,2006,44240,1010,Rabi       ,24.14
320,482,Onion,2006,10000,1010,Rabi       ,24.14
321,909,Ragi,2007,115387,1010,Rabi       ,24.24
322,22099,Rice,2007,5091,1010,Rabi       ,24.24
323,703,Safflower,2007,62138,1010,Rabi       ,24.24
324,96,Small millets,2007,5143,1010,Rabi       ,24.24
325,363,Urad,2007,4031,1010,Rabi       ,24.24
326,520,Wheat,2007,6883,1010,Rabi       ,24.24
327,252,Arecanut,2007,58855,1010,Whole Year ,24.24
328,769,Banana,2007,10000,1010,Whole Year ,24.24
329,908,Coconut ,2008,148084,1010,Whole Year ,24.27
330,8953,Coriander,2008,7946,1010,Whole Year ,24.27
331,4,Potato,2008,85085,1010,Whole Year ,24.27
332,284,Sugarcane,2008,5084,1010,Whole Year ,24.27
333,28,Sweet potato,2008,929,1010,Whole Year ,24.27
334,89,Tobacco,2008,8575,1010,Whole Year ,24.27
335,39,Turmeric,2008,65437,1010,Whole Year ,24.27
336,27942,Arhar/Tur,2008,10000,1010,Kharif     ,24.27
337,1595,Bajra,2009,151759,1010,Kharif     ,24.33
338,3191,Castor seed,2009,6614,1010,Kharif     ,24.33
339,8552,Cotton(lint),2009,86509,1010,Kharif     ,24.33
340,3765,Dry chillies,2009,6028,1010,Kharif     ,24.33
341,16,Gram,2009,2480,1010,Kharif     ,24.33
342,758700,Groundnut,2009,4449,1010,Kharif     ,24.33
343,649,Horse-gram,2009,66475,1010,Kharif     ,24.33
344,3900,Jowar,2009,10000,1010,Kharif     ,24.33
345,1434,Korra,2010,155782,1010,Kharif     ,24.44
346,2667,Maize,2010,7200,1010,Kharif     ,24.44
347,1511,Moong(Green Gram),2010,87425,1010,Kharif     ,24.44
348,1165,Onion,2010,7403,1010,Kharif     ,24.44
349,2496,Other Kharif pulses,2010,2814,1010,Kharif     ,24.44
350,5124,Ragi,2010,4446,1010,Kharif     ,24.44
351,32878,Rice,2010,63001,1010,Kharif     ,24.44
352,1434,Small millets,2010,10526,1010,Kharif     ,24.44
353,51610,Sunflower,2011,133649,1010,Kharif     ,24.15
354,487,Urad,2011,7376,1010,Kharif     ,24.15
355,5,Arhar/Tur,2011,81366,1010,Rabi       ,24.15
356,27,Bajra,2011,8914,1010,Rabi       ,24.15
357,108,Dry chillies,2011,3320,1010,Rabi       ,24.15
358,47894,Gram,2011,5294,1010,Rabi       ,24.15
359,18773,Groundnut,2011,65512,1010,Rabi       ,24.15
360,417,Horse-gram,2011,10959,1010,Rabi       ,24.15
361,15170,Jowar,2012,100073,1010,Rabi       ,24.24
362,5,Linseed,2012,7770,1010,Rabi       ,24.24
363,447,Maize,2012,69381,1010,Rabi       ,24.24
364,40,Moong(Green Gram),2012,7703,1010,Rabi       ,24.24
365,380,Onion,2012,998,1010,Rabi       ,24.24
366,1,Other  Rabi pulses,2012,1641,1010,Rabi       ,24.24
367,544,Ragi,2012,52954,1010,Rabi       ,24.24
368,38119,Rice,2012,11258,1010,Rabi       ,24.24
369,3768,Safflower,2013,140517,1010,Rabi       ,24.55
370,2,Sesamum,2013,9467,1010,Rabi       ,24.55
371,127,Urad,2013,63303,1010,Rabi       ,24.55
372,307,Wheat,2013,12744,1010,Rabi       ,24.55
373,257,Arecanut,2013,2415,1010,Whole Year ,24.55
374,1582,Banana,2013,4405,1010,Whole Year ,24.55
375,851,Coconut ,2013,73409,1010,Whole Year ,24.55
376,4741,Coriander,2013,9022,1010,Whole Year ,24.55
377,490,Sugarcane,1990,100000,591,Whole Year ,17.46
378,31,Sweet potato,1990,100000,591,Whole Year ,17.67
379,111,Tobacco,1990,34608,591,Whole Year ,17.46
380,8,Turmeric,1990,34608,591,Whole Year ,17.67
381,33454,Arhar/Tur,1990,202747,591,Kharif     ,17.46
382,1925,Bajra,1990,202747,591,Kharif     ,17.67
383,2050,Castor seed,1990,36709,591,Kharif     ,17.46
384,7638,Cotton(lint),1990,36709,591,Kharif     ,17.67
385,2737,Dry chillies,1990,28116,591,Kharif     ,17.46
386,732262,Groundnut,1990,28116,591,Kharif     ,17.67
387,947,Horse-gram,1990,21566,591,Kharif     ,17.46
388,2906,Jowar,1990,21566,591,Kharif     ,17.67
389,1000,Korra,1990,131864,591,Kharif     ,17.46
390,3541,Maize,1990,131864,591,Kharif     ,17.67
391,1150,Moong(Green Gram),1990,18947,591,Kharif     ,17.46
392,776,Onion,1990,18947,591,Kharif     ,17.67
393,490,Other Kharif pulses,1991,100000,591,Kharif     ,17.64
394,5157,Ragi,1991,100000,591,Kharif     ,17.86
395,29066,Rice,1991,40444,591,Kharif     ,17.64
396,919,Small millets,1991,40444,591,Kharif     ,17.86
397,51,Soyabean,1991,205692,591,Kharif     ,17.64
398,60319,Sunflower,1991,205692,591,Kharif     ,17.86
399,32,Urad,1991,40294,591,Kharif     ,17.64
400,129,Bajra,1991,40294,591,Rabi       ,17.86
401,83,Dry chillies,1991,33320,591,Rabi       ,17.64
402,54264,Gram,1991,33320,591,Rabi       ,17.86
403,17529,Groundnut,1991,22750,591,Rabi       ,17.64
404,1859,Horse-gram,1991,22750,591,Rabi       ,17.86
405,12676,Jowar,1991,131364,591,Rabi       ,17.64
406,8,Linseed,1991,131364,591,Rabi       ,17.86
407,1288,Maize,1991,18972,591,Rabi       ,17.64
408,4,Moong(Green Gram),1991,18972,591,Rabi       ,17.86
409,401,Onion,1992,100000,591,Rabi       ,17.09
410,417,Ragi,1992,100000,591,Rabi       ,17.51
411,10960,Rice,1992,45237,591,Rabi       ,17.09
412,2594,Safflower,1992,45237,591,Rabi       ,17.51
413,10,Small millets,1992,199039,591,Rabi       ,17.09
414,408,Urad,1992,199039,591,Rabi       ,17.51
415,362,Wheat,1992,52075,591,Rabi       ,17.09
416,263,Arecanut,1992,52075,591,Whole Year ,17.51
417,19,Banana,1992,36217,591,Whole Year ,17.09
418,1,Beans & Mutter(Vegetable),1992,36217,591,Whole Year ,17.51
419,126,Bhindi,1992,22915,591,Whole Year ,17.09
420,1026,Brinjal,1992,22915,591,Whole Year ,17.51
421,788,Citrus Fruit,1992,127273,591,Whole Year ,17.09
422,869,Coconut ,1992,127273,591,Whole Year ,17.51
423,3914,Coriander,1992,21809,591,Whole Year ,17.09
424,18,Cucumber,1992,21809,591,Whole Year ,17.51
425,111,Grapes,1993,100000,591,Whole Year ,17.32
426,3968,Mango,1993,100000,591,Whole Year ,17.53
427,13767,Orange,1993,43552,591,Whole Year ,17.32
428,132,other fibres,1993,43552,591,Whole Year ,17.53
429,2418,Other Fresh Fruits,1993,210314,591,Whole Year ,17.32
430,1767,Other Vegetables,1993,210314,591,Whole Year ,17.53
431,1544,Papaya,1993,43559,591,Whole Year ,17.32
432,1207,Pome Fruit,1993,43559,591,Whole Year ,17.53
433,2,Potato,1993,39529,591,Whole Year ,17.32
434,329,Sugarcane,1993,39529,591,Whole Year ,17.53
435,50,Sweet potato,1993,21589,591,Whole Year ,17.32
436,51,Tobacco,1993,21589,591,Whole Year ,17.53
437,3356,Tomato,1993,122955,591,Whole Year ,17.32
438,41178,Arhar/Tur,1993,122955,591,Kharif     ,17.53
439,2280,Bajra,1993,23272,591,Kharif     ,17.32
440,1927,Castor seed,1993,23272,591,Kharif     ,17.53
441,4212,Cotton(lint),1994,100000,591,Kharif     ,18.17
442,2920,Dry chillies,1994,100000,591,Kharif     ,18.31
443,670935,Groundnut,1994,42371,591,Kharif     ,18.17
444,492,Horse-gram,1994,42371,591,Kharif     ,18.31
445,12487,Jowar,1994,230166,591,Kharif     ,18.17
446,1245,Korra,1994,230166,591,Kharif     ,18.31
447,6246,Maize,1994,42989,591,Kharif     ,18.17
448,1216,Moong(Green Gram),1994,42989,591,Kharif     ,18.31
449,846,Onion,1994,35065,591,Kharif     ,18.17
450,340,Other Kharif pulses,1994,35065,591,Kharif     ,18.31
451,3353,Ragi,1994,20386,591,Kharif     ,18.17
452,17515,Rice,1994,20386,591,Kharif     ,18.31
453,245,Samai,1994,176667,591,Kharif     ,18.17
454,1420,Small millets,1994,176667,591,Kharif     ,18.31
455,16,Soyabean,1994,20237,591,Kharif     ,18.17
456,74525,Sunflower,1994,20237,591,Kharif     ,18.31
457,82,Urad,1995,100000,591,Kharif     ,17.74
458,113,Bajra,1995,100000,591,Rabi       ,17.62
